,ArrFlight,ACType,bookload,STD,ATA,ArrRoute,DepRoute
69,PC824,333,177,2022-10-21 19:40:47,2022-10-21 20:55:30,DXB,CMN
70,EK837,7M8,150,2022-10-21 15:57:25,2022-10-21 17:21:21,JED,MNL
71,GF006,320,85,2022-10-21 10:00:57,2022-10-21 11:03:17,NBO,DEL
72,GF186,73G,197,2022-10-21 09:04:34,2022-10-21 09:26:48,DXB,SKT
73,GF016,332,94,2022-10-21 07:30:47,2022-10-21 08:51:36,MED,EMA
74,GF275,321,96,2022-10-21 03:13:19,2022-10-21 03:41:21,JED,KWI
75,GF015,77W,150,2022-10-21 03:03:06,2022-10-21 03:03:40,TRV,DXB
76,GF046,321,154,2022-10-21 00:42:41,2022-10-21 02:15:51,JED,MCT
77,AI939,320,110,2022-10-21 00:08:11,2022-10-21 00:52:39,DXB,DXB
78,GF753,73G,32,2022-10-20 23:31:09,2022-10-20 22:15:02,MCT,BAH
79,GF7044,73H,117,2022-10-20 19:59:20,2022-10-20 18:59:44,DEL,MCT
80,PC824,789,135,2022-10-20 16:06:25,2022-10-20 15:37:14,NHD,DXB
81,GF261,332,272,2022-10-20 13:03:48,2022-10-20 13:34:31,IST,DEL
82,GF2029,32N,100,2022-10-20 11:23:45,2022-10-20 12:06:16,LUX,AUH
83,GF026,73H,103,2022-10-20 07:01:07,2022-10-20 07:19:36,BOM,DMM
84,GF973,320,89,2022-10-20 05:02:58,2022-10-20 03:44:35,TRV,MXP
85,GF013,77W,270,2022-10-20 02:39:54,2022-10-20 03:06:15,CAI,XJD
86,GF145,73G,75,2022-10-20 01:19:59,2022-10-20 02:47:28,LEJ,DEL
87,GF046,32N,70,2022-10-19 23:09:16,2022-10-19 21:32:24,ZZZ,MED
88,EK835,73G,163,2022-10-19 20:39:12,2022-10-19 20:45:35,MAN,SHJ
89,FZ027,738,59,2022-10-19 19:33:32,2022-10-19 18:51:05,IST,BOM
90,GF172,77W,39,2022-10-19 12:37:52,2022-10-19 12:12:16,MED,HKG
91,GF174,738,155,2022-10-19 11:51:58,2022-10-19 13:24:00,DXB,JED
92,GF178,789,154,2022-10-19 10:36:27,2022-10-19 09:28:40,AMM,CVG
93,GF963,73H,120,2022-10-19 05:22:46,2022-10-19 06:56:58,DXB,DXB
94,GF513,332,285,2022-10-19 03:43:12,2022-10-19 04:42:09,ISB,IST
95,G9105,789,56,2022-10-18 22:56:34,2022-10-18 23:21:45,BOM,AKT
96,GF082,738,125,2022-10-18 18:45:10,2022-10-18 19:48:32,DAC,KEZ
97,GF172,73G,85,2022-10-18 18:32:09,2022-10-18 17:34:32,DXB,EBL
98,GF166,321,154,2022-10-18 16:53:37,2022-10-18 15:42:45,DAC,DME
99,GF018,32Q,92,2022-10-18 14:10:24,2022-10-18 13:02:53,COK,DXB
100,GF212,7M8,161,2022-10-18 11:45:10,2022-10-18 11:46:48,LHR,ISB
101,GF174,7M8,54,2022-10-18 05:38:48,2022-10-18 06:30:09,BOM,IST
102,GF164,738,142,2022-10-18 02:50:09,2022-10-18 02:00:31,DXB,DMM
103,GF945,333,153,2022-10-18 02:31:16,2022-10-18 01:08:45,BOM,KHB
104,GF180,7M8,179,2022-10-17 20:52:52,2022-10-17 20:39:46,JED,KHI
105,H6891,320,110,2022-10-17 19:49:01,2022-10-17 19:19:25,TRV,DXB
106,GF561,333,56,2022-10-17 13:07:22,2022-10-17 12:16:57,JED,RUH
107,PC824,7M8,88,2022-10-17 11:58:25,2022-10-17 11:26:39,DXB,AUH
108,IX889,73G,241,2022-10-17 08:10:45,2022-10-17 06:58:16,NSY,CDG
109,G9101,789,120,2022-10-17 07:54:25,2022-10-17 07:33:56,LHE,IST
110,FZ021,738,67,2022-10-17 04:23:40,2022-10-17 03:56:14,IST,FRA
111,GF277,32N,43,2022-10-16 23:46:21,2022-10-16 22:46:11,DME,DXB
112,EK839,32N,128,2022-10-16 23:07:44,2022-10-16 21:29:52,IST,LUX
113,GF018,321,131,2022-10-16 20:08:20,2022-10-16 21:14:47,TZX,HKG
114,PC824,321,148,2022-10-16 18:40:37,2022-10-16 19:21:01,DXB,CAI
115,GF016,333,254,2022-10-16 16:31:50,2022-10-16 16:57:04,DXB,JED
116,GF945,73G,33,2022-10-16 09:48:30,2022-10-16 10:13:26,TBS,JED
117,GF046,320,106,2022-10-16 06:31:51,2022-10-16 07:47:30,DXB,NHD
118,GF184,333,71,2022-10-16 05:21:12,2022-10-16 03:54:24,LEJ,LHR
119,GF251,320,280,2022-10-16 00:01:02,2022-10-15 23:04:04,IST,MXP
120,GF145,32Q,135,2022-10-15 19:34:39,2022-10-15 20:47:37,DMM,DEL
121,GF164,7M8,110,2022-10-15 17:41:17,2022-10-15 16:37:22,AUH,AUH
122,PC824,32Q,87,2022-10-15 15:57:33,2022-10-15 14:52:07,DEL,DEL
123,FZ029,320,141,2022-10-15 12:08:26,2022-10-15 13:33:15,DEL,JED
124,GF963,32Q,59,2022-10-15 06:48:46,2022-10-15 05:42:59,AUH,BOM
125,GF503,738,51,2022-10-15 00:35:27,2022-10-15 01:23:44,TZX,HKG
126,GF070,77W,66,2022-10-14 18:08:18,2022-10-14 18:46:37,ATH,RUH
127,GF511,73H,98,2022-10-14 15:53:05,2022-10-14 16:09:57,DXB,AUH
128,OV263,333,179,2022-10-14 14:38:03,2022-10-14 13:42:37,TTH,MAA
129,EK835,320,160,2022-10-14 09:19:31,2022-10-14 08:57:07,KHI,AMM
130,GF509,32N,150,2022-10-14 07:00:59,2022-10-14 06:37:38,DEL,CDG
131,6E1403,321,126,2022-10-14 03:27:01,2022-10-14 04:55:57,CVG,FRA
132,PC824,32N,135,2022-10-13 21:52:55,2022-10-13 22:49:34,LHR,MXP
133,GF162,321,168,2022-10-13 17:44:03,2022-10-13 16:55:11,CAI,PEW
134,GF753,73G,272,2022-10-13 12:22:41,2022-10-13 13:08:47,IST,AUH
135,3L010,321,170,2022-10-13 08:44:49,2022-10-13 08:57:14,BOM,DXB
136,PC824,332,121,2022-10-13 05:31:32,2022-10-13 04:39:10,IST,AUH
137,GF145,73H,135,2022-10-12 23:10:58,2022-10-13 00:01:18,BLR,RUH
138,FZ023,333,138,2022-10-12 17:31:53,2022-10-12 17:16:01,BKK,LEJ
139,GF006,320,58,2022-10-12 12:20:15,2022-10-12 11:09:45,XJD,ADJ
140,MS920,32N,160,2022-10-12 11:44:43,2022-10-12 10:43:47,BOM,KHB
141,GF567,32Q,76,2022-10-12 11:24:58,2022-10-12 13:01:10,CCJ,EBL
142,G9103,73G,131,2022-10-12 10:24:38,2022-10-12 10:12:09,DEL,DXB
143,GF2771,32Q,101,2022-10-12 08:20:32,2022-10-12 09:05:27,BGW,RUH
144,GF042,738,95,2022-10-12 03:43:07,2022-10-12 04:43:37,CAI,MUX
145,PC824,77W,68,2022-10-11 23:04:04,2022-10-11 23:17:34,ADJ,AUH
146,GF102,32N,136,2022-10-11 19:54:14,2022-10-11 19:24:44,DXB,DXB
147,KU613,333,96,2022-10-11 18:57:43,2022-10-11 20:16:19,BAH,KMC
148,GF271,333,185,2022-10-11 15:28:54,2022-10-11 13:59:11,AUH,DEL
149,5W7029,73G,139,2022-10-11 10:15:10,2022-10-11 10:43:12,IST,BAH
150,GF164,73G,95,2022-10-11 04:18:28,2022-10-11 03:06:53,JED,ELQ
151,GF271,320,61,2022-10-11 00:26:51,2022-10-10 22:58:10,KMC,TRV
152,GF164,32N,136,2022-10-10 17:51:29,2022-10-10 17:33:09,DWC,DXB
153,GF145,332,58,2022-10-10 13:45:33,2022-10-10 14:02:49,DXB,AMM
154,GF188,32Q,120,2022-10-10 10:40:41,2022-10-10 11:00:20,DEL,BOM
155,H6891,32Q,43,2022-10-10 08:56:46,2022-10-10 09:21:50,BKK,IST
156,GF785,73H,128,2022-10-10 05:10:17,2022-10-10 04:51:29,AMM,HKG
157,GF751,77W,124,2022-10-10 01:48:39,2022-10-10 03:18:10,AUH,DXB
158,PC824,73H,51,2022-10-09 21:02:59,2022-10-09 21:25:15,DXB,DXB
159,GF212,738,114,2022-10-09 19:40:34,2022-10-09 19:57:59,JED,TTH
160,GF2771,321,48,2022-10-09 17:37:44,2022-10-09 18:02:57,DXB,MAA
161,FZ027,789,39,2022-10-09 13:47:48,2022-10-09 13:17:08,MED,NBO
162,FZ025,32Q,129,2022-10-09 11:17:47,2022-10-09 11:49:02,MXP,KHB
163,GF178,77W,80,2022-10-09 08:09:30,2022-10-09 06:52:22,AMM,ELQ
164,GF277,7M8,50,2022-10-09 01:38:11,2022-10-09 03:08:56,AMM,JED
165,PC824,333,168,2022-10-09 00:21:55,2022-10-08 23:54:41,KHB,SKT
166,SV528,73H,114,2022-10-08 18:09:00,2022-10-08 16:35:48,DWC,LHR
167,GF135,73G,124,2022-10-08 16:25:04,2022-10-08 15:17:21,AUH,TBS
168,GF186,32N,267,2022-10-08 10:37:30,2022-10-08 09:56:21,AUH,LEJ
169,GF541,321,97,2022-10-08 07:01:12,2022-10-08 08:21:30,DEL,CVG
170,ET424,321,51,2022-10-08 04:11:24,2022-10-08 05:12:34,ADJ,MCT
171,GF162,7M8,125,2022-10-08 02:12:51,2022-10-08 02:33:05,DXB,AUH
172,GF541,332,144,2022-10-07 19:26:14,2022-10-07 20:58:59,RUH,MCT
173,GF046,320,150,2022-10-07 17:56:09,2022-10-07 19:04:41,JED,LEJ
174,GF511,77W,114,2022-10-07 14:49:47,2022-10-07 13:11:58,LEJ,CAI
175,GF142,320,158,2022-10-07 10:20:00,2022-10-07 09:56:32,DME,AUH
176,3L010,32N,122,2022-10-07 06:35:10,2022-10-07 06:03:06,KEZ,LEJ
177,GF2029,73G,118,2022-10-07 04:32:33,2022-10-07 03:42:34,LHE,DAC
178,GF190,73G,46,2022-10-07 03:34:57,2022-10-07 04:27:24,BOM,AUH
179,GF767,789,141,2022-10-06 21:14:16,2022-10-06 22:13:19,CAI,KEZ
180,5W7029,738,120,2022-10-06 19:15:45,2022-10-06 20:10:41,DXB,DWC
181,OV263,32N,156,2022-10-06 17:04:50,2022-10-06 15:28:21,DXB,XJD
182,GF973,321,90,2022-10-06 14:05:35,2022-10-06 14:17:27,TLV,LHR
183,GF174,77W,85,2022-10-06 08:17:57,2022-10-06 07:59:25,PEW,AMM
184,GF277,73H,160,2022-10-06 05:50:19,2022-10-06 06:34:06,AUH,DXB
185,GF018,32Q,132,2022-10-06 01:39:18,2022-10-06 02:21:31,CDG,DXB
186,PC824,7M8,130,2022-10-05 19:27:54,2022-10-05 19:38:00,AUH,DMM
187,GF787,332,150,2022-10-05 14:33:35,2022-10-05 15:55:43,ZZZ,NHD
188,GF044,333,125,2022-10-05 12:15:33,2022-10-05 13:51:37,HYD,AMM
189,GF771,333,233,2022-10-05 11:05:56,2022-10-05 09:58:39,SHJ,LEJ
190,EY377,73G,58,2022-10-05 06:31:43,2022-10-05 06:32:32,IST,AKT
191,XQ6500,73H,34,2022-10-05 00:32:45,2022-10-05 01:38:27,SHJ,CAI
192,EK839,73H,120,2022-10-04 20:31:25,2022-10-04 20:37:36,KMC,BOM
193,GF053,332,113,2022-10-04 20:16:57,2022-10-04 20:24:18,TZX,ISB
194,GF509,320,164,2022-10-04 16:48:32,2022-10-04 16:02:00,LCA,KHB
195,SV528,320,44,2022-10-04 15:17:00,2022-10-04 14:01:03,DXB,DXB
196,GF787,7M8,39,2022-10-04 11:35:24,2022-10-04 11:28:32,BAH,DXB
197,GF018,7M8,121,2022-10-04 11:15:56,2022-10-04 10:27:44,AUH,AUH
198,GF561,73G,159,2022-10-04 06:39:36,2022-10-04 06:55:30,HKG,BKK
199,GF065,332,221,2022-10-04 01:06:11,2022-10-04 02:09:54,CAI,LCA
200,FZ025,77W,66,2022-10-03 21:15:10,2022-10-03 20:22:50,ZZZ,CAI
201,GF188,77W,121,2022-10-03 16:07:31,2022-10-03 17:04:55,JED,MCT
202,GF166,321,197,2022-10-03 13:10:14,2022-10-03 13:36:06,DEL,LHE
203,TK7674,333,247,2022-10-03 07:20:17,2022-10-03 07:35:36,AUH,AUH
204,XQ6500,32N,73,2022-10-03 04:39:12,2022-10-03 06:00:12,LYP,FRA
205,GF789,333,159,2022-10-02 21:49:31,2022-10-02 20:30:43,ELQ,ELQ
206,GF501,332,140,2022-10-02 16:36:59,2022-10-02 16:06:52,DXB,MCT
207,GF131,73G,53,2022-10-02 14:26:23,2022-10-02 13:37:48,LEJ,SIN
208,GF164,77W,42,2022-10-02 10:52:43,2022-10-02 09:46:52,JED,DMM
209,GF174,738,129,2022-10-02 10:19:34,2022-10-02 11:01:15,CAI,SHJ
210,GF765,320,156,2022-10-02 05:18:12,2022-10-02 03:50:20,MCT,AUH
211,GF002,321,169,2022-10-02 02:10:57,2022-10-02 01:24:01,BOM,MCT
212,GF965,321,157,2022-10-02 01:23:07,2022-10-02 01:44:40,AMM,JIB
213,PC824,32N,118,2022-10-01 19:40:46,2022-10-01 19:24:10,DXB,ISB
214,WY653,73G,50,2022-10-01 16:48:44,2022-10-01 16:27:52,EBL,DXB
215,GF131,738,80,2022-10-01 11:43:46,2022-10-01 13:08:12,MUX,DXB
216,PC824,7M8,57,2022-10-01 06:15:22,2022-10-01 04:43:04,COK,BAH
217,G9103,77W,169,2022-10-01 03:28:21,2022-10-01 03:07:17,JED,DME
218,FZ023,789,44,2022-10-01 00:29:53,2022-10-01 00:52:03,KWI,CAI
219,GF061,73G,150,2022-09-30 18:48:48,2022-09-30 17:14:38,MAA,AMM
220,GF112,332,118,2022-09-30 17:44:22,2022-09-30 16:46:18,ADJ,MXP
221,GF168,77W,70,2022-09-30 11:48:03,2022-09-30 10:23:37,AMM,TRV
222,GF153,332,253,2022-09-30 06:31:57,2022-09-30 07:05:13,XJD,DXB
223,GF541,332,120,2022-09-30 02:05:32,2022-09-30 00:41:34,BOM,DEL
224,IX471,32N,81,2022-09-29 19:27:02,2022-09-29 19:29:19,DXB,LEJ
225,GF251,332,129,2022-09-29 13:41:56,2022-09-29 12:55:19,SIN,DXB
226,GF168,738,80,2022-09-29 11:46:07,2022-09-29 10:49:04,DMM,BAH
227,G9103,77W,62,2022-09-29 07:28:44,2022-09-29 06:43:09,DXB,LHR
228,GF507,7M8,151,2022-09-29 07:19:31,2022-09-29 07:38:32,AUH,DXB
229,PC824,7M8,58,2022-09-29 06:05:30,2022-09-29 07:26:39,MCT,CVG
230,KU615,32N,135,2022-09-29 03:56:44,2022-09-29 04:05:34,AUH,JED
231,GF013,332,142,2022-09-28 22:24:00,2022-09-28 22:36:01,AUH,DXB
232,G9101,333,236,2022-09-28 18:35:02,2022-09-28 18:42:42,KHB,AUH
233,GF973,73G,170,2022-09-28 11:50:28,2022-09-28 10:37:09,AMM,BKK
234,GF751,321,66,2022-09-28 05:18:39,2022-09-28 06:18:08,AUH,SHJ
235,GF082,32Q,286,2022-09-28 04:18:29,2022-09-28 03:32:40,HKG,BAH
236,FZ021,333,73,2022-09-28 01:55:54,2022-09-28 01:18:03,JED,AUH
237,GF174,73G,36,2022-09-27 21:21:09,2022-09-27 21:51:44,DME,DEL
238,GF503,7M8,132,2022-09-27 14:59:12,2022-09-27 14:10:37,MNL,LHR
239,GF112,320,49,2022-09-27 11:23:08,2022-09-27 10:02:33,DXB,MNL
240,AI939,738,66,2022-09-27 08:03:42,2022-09-27 09:08:16,ADJ,AUH
241,SV526,32Q,66,2022-09-27 06:54:51,2022-09-27 06:37:17,DXB,DXB
242,GF791,789,139,2022-09-27 05:15:51,2022-09-27 05:02:41,XJD,SHJ
243,GF751,332,49,2022-09-27 02:33:09,2022-09-27 03:33:27,KHI,DXB
244,PC824,73H,148,2022-09-26 21:40:57,2022-09-26 22:16:46,DXB,ZZZ
245,GF002,321,128,2022-09-26 18:16:57,2022-09-26 18:51:06,COK,IST
246,GF016,321,76,2022-09-26 15:32:28,2022-09-26 15:22:55,NBO,SIN
247,IX889,32N,59,2022-09-26 11:35:41,2022-09-26 10:31:44,HKG,DXB
248,GF022,73H,160,2022-09-26 11:01:15,2022-09-26 09:47:56,HKG,ELQ
249,GF069,32Q,118,2022-09-26 05:49:58,2022-09-26 05:12:16,DXB,CAI
250,EK837,738,123,2022-09-26 00:52:53,2022-09-25 23:22:05,CMN,MCT
251,GF216,789,70,2022-09-25 21:33:47,2022-09-25 20:59:40,LHE,ELQ
252,GF170,7M8,273,2022-09-25 18:21:11,2022-09-25 16:51:48,DMM,IST
253,EK839,32N,114,2022-09-25 12:24:33,2022-09-25 11:27:58,LEJ,JED
254,GF785,320,90,2022-09-25 10:26:47,2022-09-25 10:24:11,JED,KWI
255,GF271,73G,67,2022-09-25 06:49:56,2022-09-25 06:59:27,HKG,PEW
256,GF511,77W,100,2022-09-25 03:48:12,2022-09-25 05:08:39,DXB,JED
257,GF271,32Q,149,2022-09-25 03:45:24,2022-09-25 02:24:09,KHB,CAI
258,GF069,332,71,2022-09-24 23:25:53,2022-09-24 22:38:16,DMM,MAA
259,GF180,321,114,2022-09-24 16:43:37,2022-09-24 16:15:48,DXB,BOM
260,PK187,333,157,2022-09-24 14:04:42,2022-09-24 15:16:12,DXB,DMM
261,EY377,77W,65,2022-09-24 09:52:28,2022-09-24 10:21:22,DAC,KHI
262,GF565,789,155,2022-09-24 05:18:58,2022-09-24 06:46:42,CAI,TBS
263,BA125,32N,95,2022-09-24 01:08:43,2022-09-24 00:38:02,AUH,TRV
264,PC824,32N,140,2022-09-23 19:47:27,2022-09-23 19:56:36,LHR,DEL
265,GF513,73H,76,2022-09-23 13:54:09,2022-09-23 12:38:27,JED,MXP
266,GF7044,320,51,2022-09-23 08:16:38,2022-09-23 09:28:28,HYD,BKK
267,TK7674,321,121,2022-09-23 02:00:46,2022-09-23 03:14:48,JED,AUH
268,PC824,332,147,2022-09-22 23:28:32,2022-09-23 00:17:40,LUX,HKG
269,GF135,332,116,2022-09-22 21:34:53,2022-09-22 20:49:05,BKK,KMC
270,3L010,320,128,2022-09-22 19:52:30,2022-09-22 20:57:42,TBS,MCT
271,FZ025,789,90,2022-09-22 19:27:23,2022-09-22 20:19:52,CCJ,DXB
272,GF771,73H,121,2022-09-22 19:07:04,2022-09-22 20:31:13,DME,AUH
273,GF006,77W,262,2022-09-22 15:29:43,2022-09-22 17:03:22,SHJ,DXB
274,GF174,77W,152,2022-09-22 10:48:26,2022-09-22 12:01:09,BOM,AKT
275,GF069,32Q,93,2022-09-22 07:48:34,2022-09-22 08:51:21,AUH,BOM
276,3L010,321,149,2022-09-22 03:30:55,2022-09-22 03:09:32,AUH,AUH
277,GF773,32N,159,2022-09-22 02:21:43,2022-09-22 01:30:58,BKK,BOM
278,GF004,32Q,80,2022-09-21 23:07:58,2022-09-22 00:24:09,TZX,AUH
279,GF251,32Q,236,2022-09-21 22:46:03,2022-09-21 23:09:52,JED,BGW
280,GF261,321,127,2022-09-21 17:42:47,2022-09-21 18:33:19,CAI,BOM
281,GF102,738,77,2022-09-21 12:50:11,2022-09-21 13:23:11,AMM,ADJ
282,KL445,320,234,2022-09-21 10:43:29,2022-09-21 11:03:39,MCT,AUH
283,SV526,321,29,2022-09-21 06:06:25,2022-09-21 04:52:16,MCT,JED
284,GF765,73H,170,2022-09-21 00:52:21,2022-09-21 00:41:07,CMN,JED
285,H6891,32N,51,2022-09-20 20:51:13,2022-09-20 19:17:34,BAH,KHI
286,EK839,333,131,2022-09-20 16:25:43,2022-09-20 16:02:07,MCT,JED
287,GF283,73G,70,2022-09-20 09:34:59,2022-09-20 09:19:13,SHJ,EBL
288,SV520,32Q,48,2022-09-20 04:58:19,2022-09-20 04:53:19,FRA,DWC
289,FZ021,332,77,2022-09-20 01:55:55,2022-09-20 00:52:29,LHR,DEL
290,GF180,321,152,2022-09-19 21:51:41,2022-09-19 22:10:15,NBO,SAW
291,GF153,73H,147,2022-09-19 20:07:31,2022-09-19 19:49:26,SHJ,MCT
292,GF180,7M8,133,2022-09-19 19:27:37,2022-09-19 20:43:43,LYP,AMM
293,PC824,32Q,86,2022-09-19 17:15:14,2022-09-19 15:41:01,FRA,JED
294,GF545,320,49,2022-09-19 12:43:11,2022-09-19 12:11:30,DXB,DXB
295,AI939,738,174,2022-09-19 12:10:42,2022-09-19 11:51:56,SHJ,CDG
296,FZ023,32Q,273,2022-09-19 09:54:19,2022-09-19 10:01:42,DXB,AUH
297,GF281,321,33,2022-09-19 06:42:10,2022-09-19 07:04:48,DXB,CAI
298,GF511,32Q,142,2022-09-19 04:44:54,2022-09-19 03:54:24,TRV,COK
299,AI939,73G,116,2022-09-19 04:10:37,2022-09-19 05:39:54,EBL,NHD
300,GF190,332,151,2022-09-19 01:22:35,2022-09-19 00:25:22,FRA,LEJ
301,KU613,77W,128,2022-09-18 23:57:21,2022-09-19 00:19:45,NHD,CMN
302,GF771,320,75,2022-09-18 19:40:01,2022-09-18 18:01:58,DXB,CDG
303,FZ027,333,135,2022-09-18 16:03:37,2022-09-18 14:26:54,BKK,KMC
304,GF164,332,137,2022-09-18 12:10:27,2022-09-18 13:48:09,CMN,CCJ
305,FZ027,333,177,2022-09-18 08:33:50,2022-09-18 10:01:52,AUH,SAW
306,GF789,73G,100,2022-09-18 06:53:17,2022-09-18 06:32:46,KWI,DXB
307,GF965,321,42,2022-09-18 06:00:07,2022-09-18 05:23:29,BLR,KHI
308,GF082,32Q,100,2022-09-18 00:06:33,2022-09-17 23:55:11,LEJ,JED
309,GF789,738,142,2022-09-17 22:46:54,2022-09-18 00:00:35,CAI,TTH
310,GF018,332,39,2022-09-17 15:52:45,2022-09-17 14:36:41,DEL,DXB
